Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
2,526350040,A,RH,80,11622,Pave,NA,1,Lvl,1,Inside,1,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,4,4,468,5,144,270,882,GasA,3,Y,1,896,0,0,896,0,0,1,0,2,1,3,5,1,0,6,Attchd,1961,3,1,730,3,3,1,140,0,0,0,120,0,5,2,NA,0,6,2010,WD ,Normal,105000
3,526351010,A,RL,81,14267,Pave,NA,2,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,3,3,CBlock,3,3,4,2,923,6,0,406,1329,GasA,3,Y,1,1329,0,0,1329,0,0,1,1,3,1,2,6,1,0,6,Attchd,1958,3,1,312,3,3,1,393,36,0,0,0,0,5,5,Gar2,12500,6,2010,WD ,Normal,172000
7,527127150,L,RL,41,4920,Pave,NA,1,Lvl,1,Inside,1,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0,2,3,PConc,2,3,3,1,616,6,0,722,1338,GasA,1,Y,1,1338,0,0,1338,1,0,2,0,2,1,2,6,1,0,6,Attchd,2001,1,2,582,3,3,1,0,0,170,0,0,0,5,5,NA,0,4,2010,WD ,Normal,213500
8,527145080,L,RL,43,5005,Pave,NA,2,HLS,1,Inside,1,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,2,3,PConc,2,3,4,2,263,6,0,1017,1280,GasA,1,Y,1,1280,0,0,1280,0,0,2,0,2,1,2,5,1,0,6,Attchd,1992,2,2,506,3,3,1,0,82,0,0,144,0,5,5,NA,0,1,2010,WD ,Normal,191500
13,527166040,F,RL,63,8402,Pave,NA,2,Lvl,1,Inside,1,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,2,3,4,6,0,6,0,789,789,GasA,2,Y,1,789,676,0,1465,0,0,2,1,3,1,3,7,1,1,2,Attchd,1998,1,2,393,3,3,1,0,75,0,0,0,0,5,5,NA,0,5,2010,WD ,Normal,180400
14,527180040,A,RL,85,10176,Pave,NA,1,Lvl,1,Inside,1,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,PConc,2,3,1,1,637,6,0,663,1300,GasA,2,Y,1,1341,0,0,1341,1,0,1,1,2,1,2,5,1,1,5,Attchd,1990,3,2,506,3,3,1,192,0,0,0,0,0,5,5,NA,0,2,2010,WD ,Normal,171500
19,527276150,A,RL,140,19138,Pave,NA,1,Lvl,1,Corner,1,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,4,5,120,6,0,744,864,GasA,1,Y,1,864,0,0,864,0,0,1,0,2,1,3,4,1,0,6,Detchd,1951,3,2,400,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,141000
26,527403020,A,RL,65,8450,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,4,3,775,6,0,281,1056,GasA,1,Y,1,1056,0,0,1056,1,0,1,0,3,1,3,6,1,1,4,Attchd,1968,3,1,304,3,3,1,0,85,184,0,0,0,5,5,NA,0,7,2010,WD ,Normal,142000
27,527404120,A,RL,70,8400,Pave,NA,1,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,3,3,4,2,804,4,78,0,882,GasA,3,Y,1,882,0,0,882,1,0,1,0,2,1,3,4,1,0,6,Attchd,1970,1,2,525,3,3,1,240,0,0,0,0,0,5,2,NA,0,4,2010,WD ,Normal,126000
29,527427230,L,RH,26,5858,Pave,NA,2,Lvl,1,FR2,1,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,1,1051,3,0,354,1405,GasA,1,Y,1,1337,0,0,1337,1,0,2,0,2,1,2,5,1,1,4,Attchd,1999,1,2,511,3,3,1,203,68,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,184000
