Order,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
7,L,RL,41,4920,Pave,NA,1,Lvl,Inside,1,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0,2,3,PConc,2,3,3,1,616,6,0,722,1338,GasA,1,Y,1,1338,0,0,1338,1,0,2,0,2,1,2,6,1,0,6,Attchd,2001,1,2,582,3,3,1,0,0,170,0,0,0,5,5,NA,0,4,2010,WD ,213500
8,L,RL,43,5005,Pave,NA,2,HLS,Inside,1,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,2,3,PConc,2,3,4,2,263,6,0,1017,1280,GasA,1,Y,1,1280,0,0,1280,0,0,2,0,2,1,2,5,1,0,6,Attchd,1992,2,2,506,3,3,1,0,82,0,0,144,0,5,5,NA,0,1,2010,WD ,191500
13,F,RL,63,8402,Pave,NA,2,Lvl,Inside,1,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,2,3,4,6,0,6,0,789,789,GasA,2,Y,1,789,676,0,1465,0,0,2,1,3,1,3,7,1,1,2,Attchd,1998,1,2,393,3,3,1,0,75,0,0,0,0,5,5,NA,0,5,2010,WD ,180400
26,A,RL,65,8450,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,4,3,775,6,0,281,1056,GasA,1,Y,1,1056,0,0,1056,1,0,1,0,3,1,3,6,1,1,4,Attchd,1968,3,1,304,3,3,1,0,85,184,0,0,0,5,5,NA,0,7,2010,WD ,142000
27,A,RL,70,8400,Pave,NA,1,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,3,3,4,2,804,4,78,0,882,GasA,3,Y,1,882,0,0,882,1,0,1,0,2,1,3,4,1,0,6,Attchd,1970,1,2,525,3,3,1,240,0,0,0,0,0,5,2,NA,0,4,2010,WD ,126000
29,L,RH,26,5858,Pave,NA,2,Lvl,FR2,1,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,1,1051,3,0,354,1405,GasA,1,Y,1,1337,0,0,1337,1,0,2,0,2,1,2,5,1,1,4,Attchd,1999,1,2,511,3,3,1,203,68,0,0,0,0,5,5,NA,0,6,2010,WD ,184000
30,M,RM,21,1680,Pave,NA,1,Lvl,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,3,3,CBlock,3,3,4,4,156,6,0,327,483,GasA,3,Y,1,483,504,0,987,0,0,1,1,2,1,3,5,1,0,6,Detchd,1971,3,1,264,3,3,1,275,0,0,0,0,0,5,5,NA,0,2,2010,COD,96000
31,M,RM,21,1680,Pave,NA,1,Lvl,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,3,3,CBlock,3,3,4,4,300,6,0,225,525,GasA,3,Y,1,525,567,0,1092,0,0,1,1,3,1,3,6,1,0,6,Detchd,1997,3,1,320,3,3,1,0,0,0,0,0,0,5,5,NA,0,3,2010,WD ,105500
33,L,RL,53,4043,Pave,NA,1,Lvl,Inside,1,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,2,360,6,0,709,1069,GasA,3,Y,1,1069,0,0,1069,0,0,2,0,2,1,3,4,1,1,4,Attchd,1977,2,2,440,3,3,1,0,55,0,0,165,0,5,5,NA,0,7,2010,WD ,127500
34,M,RL,24,2280,Pave,NA,1,Lvl,FR2,1,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,3,3,CBlock,3,3,4,2,514,6,0,341,855,GasA,3,Y,1,855,601,0,1456,0,0,2,1,3,1,2,6,1,1,3,Attchd,1975,3,2,440,3,3,1,173,0,0,0,0,0,5,5,NA,0,6,2010,WD ,149900
35,L,RL,24,2280,Pave,NA,1,Lvl,FR2,1,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,3,3,CBlock,2,3,4,6,0,6,0,836,836,GasA,1,Y,1,836,0,0,836,0,0,1,0,2,1,3,4,1,0,6,Attchd,1975,3,1,308,3,3,1,0,30,0,0,0,0,5,5,NA,0,6,2010,WD ,120000
