% \datos de entrenamiento, numero de neuronas, error en prueba, aciertos, fallos
40, 5, 0.04, 72, 3
50, 5, 0.04, 72, 3
60, 5, 0.04, 72, 3
70, 5, 0.04, 72, 3
80, 5, 0.04, 72, 3
90, 5, 0.04, 72, 3
100, 5, 0.04, 72, 3
40, 6, 0.0333333333333, 58, 2
50, 6, 0.0333333333333, 58, 2
60, 6, 0.0333333333333, 58, 2
70, 6, 0.0333333333333, 58, 2
80, 6, 0.0333333333333, 58, 2
90, 6, 0.0333333333333, 58, 2
100, 6, 0.0333333333333, 58, 2
40, 7, 0.0888888888889, 41, 4
50, 7, 0.111111111111, 40, 5
60, 7, 0.0888888888889, 41, 4
70, 7, 0.111111111111, 40, 5
80, 7, 0.0888888888889, 41, 4
90, 7, 0.0888888888889, 41, 4
100, 7, 0.0888888888889, 41, 4
40, 8, 0.0333333333333, 29, 1
50, 8, 0.0333333333333, 29, 1
60, 8, 0.0333333333333, 29, 1
70, 8, 0.0333333333333, 29, 1
80, 8, 0.0333333333333, 29, 1
90, 8, 0.0333333333333, 29, 1
100, 8, 0.0333333333333, 29, 1
40, 9, 0.0, 15, 0
50, 9, 0.0, 15, 0
60, 9, 0.0, 15, 0
70, 9, 0.0, 15, 0
80, 9, 0.0, 15, 0
90, 9, 0.0, 15, 0
100, 9, 0.0, 15, 0
