% \datos de entrenamiento, numero de neuronas, error en prueba, aciertos, fallos
50, 4, 0.0533333333333, 71, 4
50, 5, 0.04, 72, 3
50, 6, 0.04, 72, 3
50, 7, 0.04, 72, 3
50, 8, 0.04, 72, 3
50, 9, 0.04, 72, 3
50, 10, 0.04, 72, 3
60, 4, 0.0333333333333, 58, 2
60, 5, 0.0333333333333, 58, 2
60, 6, 0.0333333333333, 58, 2
60, 7, 0.0333333333333, 58, 2
60, 8, 0.0333333333333, 58, 2
60, 9, 0.0333333333333, 58, 2
60, 10, 0.0333333333333, 58, 2
70, 4, 0.0, 45, 0
70, 5, 0.0, 45, 0
70, 6, 0.0, 45, 0
70, 7, 0.0, 45, 0
70, 8, 0.0, 45, 0
70, 9, 0.0, 45, 0
70, 10, 0.0, 45, 0
80, 4, 0.0333333333333, 29, 1
80, 5, 0.0333333333333, 29, 1
80, 6, 0.0333333333333, 29, 1
80, 7, 0.0333333333333, 29, 1
80, 8, 0.0333333333333, 29, 1
80, 9, 0.0333333333333, 29, 1
80, 10, 0.0333333333333, 29, 1
90, 4, 0.133333333333, 13, 2
90, 5, 0.133333333333, 13, 2
90, 6, 0.133333333333, 13, 2
90, 7, 0.133333333333, 13, 2
90, 8, 0.133333333333, 13, 2
90, 9, 0.133333333333, 13, 2
90, 10, 0.133333333333, 13, 2
