grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, 11puzzle, "4 3 2 6 1 8 B 5 7 9 10 11", 10, 8855, 3.00000e-04, 2.95167e+07
X, dfid, 11puzzle, "3 1 4 5 B 2 6 7 8 9 10 11", 8, 1612, 3.00000e-04, 5.37333e+06
X, dfid, 11puzzle, "3 1 2 6 7 11 8 4 10 9 B 5", 18, 1289112, 3.00000e-04, 4.29704e+09
X, dfid, 11puzzle, "4 3 2 1 7 5 10 9 8 6 B 11", 12, 27682, 3.00000e-04, 9.22733e+07
X, dfid, 11puzzle, "3 1 4 6 5 2 B 7 8 9 10 11", 8, 2282, 3.00000e-04, 7.60667e+06
X, dfid, 11puzzle, "3 5 2 1 9 11 10 4 B 6 8 7", na, na, na, na
X, dfid, 11puzzle, "1 2 B 3 6 4 7 8 5 9 10 11", 10, 4065, 3.00000e-04, 1.35500e+07
X, dfid, 11puzzle, "3 5 1 4 7 2 6 10 8 9 B 11", 8, 2396, 3.00000e-04, 7.98667e+06
X, dfid, 11puzzle, "1 4 B 3 7 2 9 6 5 10 11 8", 10, 7554, 3.00000e-04, 2.51800e+07
X, dfid, 11puzzle, "1 2 B 3 4 5 9 11 8 7 6 10", 14, 103318, 3.00000e-04, 3.44393e+08
X, dfid, 11puzzle, "B 2 3 1 6 5 11 7 4 9 8 10", 24, 65114933, 3.00000e-04, 2.17050e+11
X, dfid, 11puzzle, "3 1 B 6 5 2 10 4 8 7 9 11", 10, 6563, 3.00000e-04, 2.18767e+07
X, dfid, 11puzzle, "3 1 2 6 8 4 9 7 5 10 B 11", 10, 5061, 3.00000e-04, 1.68700e+07
X, dfid, 11puzzle, "B 3 2 6 1 4 9 7 5 10 11 8", 10, 5229, 3.00000e-04, 1.74300e+07
X, dfid, 11puzzle, "1 4 2 3 7 5 10 8 11 6 B 9", 10, 5961, 3.00000e-04, 1.98700e+07
X, dfid, 11puzzle, "2 3 B 6 8 5 9 11 4 7 1 10", 28, 887562760, 3.00000e-04, 2.95854e+12
X, dfid, 11puzzle, "3 2 5 6 4 10 1 7 8 9 B 11", 20, 4213007, 3.00000e-04, 1.40434e+10
X, dfid, 11puzzle, "B 4 1 5 2 8 3 7 11 6 9 10", 18, 1465381, 3.00000e-04, 4.88460e+09
X, dfid, 11puzzle, "B 3 2 4 1 5 6 7 8 9 10 11", 4, 76, 3.00000e-04, 2.53333e+05
X, dfid, 11puzzle, "B 7 2 1 3 8 4 5 6 9 10 11", 14, 92344, 3.00000e-04, 3.07813e+08
X, dfid, 11puzzle, "1 4 2 3 7 5 6 8 11 9 B 10", 6, 429, 3.00000e-04, 1.43000e+06
X, dfid, 11puzzle, "2 4 3 1 7 5 B 6 8 9 10 11", 14, 92873, 3.00000e-04, 3.09577e+08
X, dfid, 11puzzle, "3 1 2 6 4 5 B 9 11 10 8 7", 10, 7193, 3.00000e-04, 2.39767e+07
X, dfid, 11puzzle, "6 3 4 10 1 2 9 7 5 11 B 8", 20, 4142493, 3.00000e-04, 1.38083e+10
X, dfid, 11puzzle, "7 8 1 3 B 2 4 6 5 9 10 11", 14, 126432, 3.00000e-04, 4.21440e+08
X, dfid, 11puzzle, "3 5 4 6 2 1 7 10 8 9 B 11", 16, 354165, 3.00000e-04, 1.18055e+09
X, dfid, 11puzzle, "3 1 2 10 4 8 5 7 11 6 B 9", 16, 302968, 3.00000e-04, 1.00989e+09
X, dfid, 11puzzle, "3 1 5 2 7 4 6 10 8 9 B 11", 10, 8273, 3.00000e-04, 2.75767e+07
X, dfid, 11puzzle, "3 1 2 6 4 5 7 10 8 9 B 11", 4, 124, 3.00000e-04, 4.13333e+05
X, dfid, 11puzzle, "3 1 2 4 7 5 B 6 10 9 11 8", 8, 1523, 3.00000e-04, 5.07667e+06
X, dfid, 11puzzle, "3 2 5 4 1 8 6 7 11 9 B 10", 8, 1782, 3.00000e-04, 5.94000e+06
X, dfid, 11puzzle, "3 2 B 4 1 5 6 7 8 9 10 11", 4, 76, 3.00000e-04, 2.53333e+05
X, dfid, 11puzzle, "1 5 4 7 B 2 3 6 10 9 11 8", 14, 92958, 3.00000e-04, 3.09860e+08
X, dfid, 11puzzle, "1 7 B 3 6 2 11 8 9 4 5 10", 28, 937001364, 3.00000e-04, 3.12334e+12
X, dfid, 11puzzle, "3 1 4 6 B 7 9 5 2 10 8 11", 16, 432013, 3.00000e-04, 1.44004e+09
X, dfid, 11puzzle, "3 1 2 6 4 5 9 7 B 11 8 10", 12, 33653, 3.00000e-04, 1.12177e+08
X, dfid, 11puzzle, "1 2 B 3 4 11 7 8 5 6 9 10", 16, 285683, 3.00000e-04, 9.52277e+08
X, dfid, 11puzzle, "3 1 2 8 B 4 6 10 9 5 7 11", 22, 17780423, 3.00000e-04, 5.92681e+10
X, dfid, 11puzzle, "3 1 B 6 8 2 5 4 10 9 11 7", 16, 336879, 3.00000e-04, 1.12293e+09
X, dfid, 11puzzle, "1 5 B 3 2 8 6 4 11 9 7 10", 10, 5776, 3.00000e-04, 1.92533e+07
X, dfid, 11puzzle, "4 1 3 10 2 5 7 8 11 6 B 9", 22, 17539574, 3.00000e-04, 5.84652e+10
X, dfid, 11puzzle, "B 4 2 1 8 3 6 10 7 11 9 5", 22, 19833416, 3.00000e-04, 6.61114e+10
X, dfid, 11puzzle, "B 4 5 1 6 7 3 10 2 9 11 8", 20, 3285117, 3.00000e-04, 1.09504e+10
X, dfid, 11puzzle, "1 5 B 6 2 8 3 4 11 7 9 10", 18, 941146, 3.00000e-04, 3.13715e+09
X, dfid, 11puzzle, "3 1 2 6 4 7 9 8 10 11 B 5", 16, 253637, 3.00000e-04, 8.45457e+08
X, dfid, 11puzzle, "2 5 B 9 11 8 1 7 6 3 10 4", na, na, na, na
X, dfid, 11puzzle, "5 1 B 3 4 2 8 6 7 9 10 11", 20, 5075327, 3.00000e-04, 1.69178e+10
X, dfid, 11puzzle, "1 4 2 3 5 8 6 10 7 9 B 11", 6, 533, 3.00000e-04, 1.77667e+06
X, dfid, 11puzzle, "3 6 2 1 7 5 9 4 8 10 B 11", 20, 3596545, 3.00000e-04, 1.19885e+10
X, dfid, 11puzzle, "1 2 5 11 B 4 7 3 10 6 9 8", 18, 1308653, 3.00000e-04, 4.36218e+09
X, dfid, 11puzzle, "3 1 2 11 7 5 9 10 B 6 4 8", 24, 53871055, 3.00000e-04, 1.79570e+11
X, dfid, 11puzzle, "1 2 5 3 4 8 7 9 11 6 B 10", 10, 7337, 3.00000e-04, 2.44567e+07
X, dfid, 11puzzle, "3 5 B 7 2 1 4 6 8 9 10 11", 12, 17772, 3.00000e-04, 5.92400e+07
X, dfid, 11puzzle, "1 4 8 2 10 5 7 9 6 3 B 11", 24, 82378014, 3.00000e-04, 2.74593e+11
X, dfid, 11puzzle, "1 5 4 3 B 2 6 7 10 9 11 8", 12, 35296, 3.00000e-04, 1.17653e+08
X, dfid, 11puzzle, "1 2 5 3 4 8 7 11 B 6 9 10", 10, 5609, 3.00000e-04, 1.86967e+07
X, dfid, 11puzzle, "3 1 2 4 7 5 6 10 8 9 B 11", 4, 144, 3.00000e-04, 4.80000e+05
X, dfid, 11puzzle, "1 4 2 10 3 5 B 6 8 9 7 11", 14, 97544, 3.00000e-04, 3.25147e+08
X, dfid, 11puzzle, "3 5 B 4 7 8 6 1 2 9 11 10", 26, 282221995, 3.00000e-04, 9.40740e+11
X, dfid, 11puzzle, "5 3 4 1 2 8 6 7 11 9 B 10", 14, 90259, 3.00000e-04, 3.00863e+08
X, dfid, 11puzzle, "4 2 5 8 6 3 7 11 B 9 1 10", 24, 69510712, 3.00000e-04, 2.31702e+11
X, dfid, 11puzzle, "3 2 7 6 B 4 5 10 8 9 11 1", 22, 22772823, 3.00000e-04, 7.59094e+10
X, dfid, 11puzzle, "8 1 2 3 B 4 10 5 7 6 9 11", 20, 5315300, 3.00000e-04, 1.77177e+10
X, dfid, 11puzzle, "1 2 5 6 3 4 7 10 8 9 B 11", 8, 1810, 3.00000e-04, 6.03333e+06
X, dfid, 11puzzle, "1 4 2 3 B 5 10 7 8 6 9 11", 8, 2765, 3.00000e-04, 9.21667e+06
X, dfid, 11puzzle, "4 3 2 6 B 8 5 1 7 9 10 11", 12, 37816, 3.00000e-04, 1.26053e+08
X, dfid, 11puzzle, "4 2 1 3 B 10 6 5 11 7 9 8", 24, 105295955, 3.00000e-04, 3.50987e+11
X, dfid, 11puzzle, "3 1 2 4 7 5 B 6 8 9 10 11", 4, 101, 3.00000e-04, 3.36667e+05
X, dfid, 11puzzle, "7 6 4 10 1 2 9 3 5 11 B 8", 22, 14632933, 3.00000e-04, 4.87764e+10
X, dfid, 11puzzle, "1 2 B 3 6 5 7 8 11 4 9 10", 16, 233385, 3.00000e-04, 7.77950e+08
X, dfid, 11puzzle, "3 1 2 6 B 5 10 4 11 8 9 7", 14, 156534, 3.00000e-04, 5.21780e+08
X, dfid, 11puzzle, "3 2 B 6 1 5 10 4 8 7 9 11", 10, 5419, 3.00000e-04, 1.80633e+07
X, dfid, 11puzzle, "3 2 5 4 1 8 6 7 11 9 B 10", 8, 1782, 3.00000e-04, 5.94000e+06
X, dfid, 11puzzle, "5 8 2 3 6 1 4 11 B 9 7 10", 22, 17915019, 3.00000e-04, 5.97167e+10
X, dfid, 11puzzle, "5 6 1 3 B 8 9 2 4 10 7 11", 18, 1717557, 3.00000e-04, 5.72519e+09
X, dfid, 11puzzle, "5 3 8 1 B 11 6 2 4 9 7 10", 18, 1721497, 3.00000e-04, 5.73832e+09
X, dfid, 11puzzle, "1 4 2 3 7 5 6 10 8 9 B 11", 4, 156, 3.00000e-04, 5.20000e+05
X, dfid, 11puzzle, "4 3 2 1 7 5 B 11 10 6 9 8", 14, 133382, 3.00000e-04, 4.44607e+08
X, dfid, 11puzzle, "3 1 2 7 6 8 5 4 11 9 B 10", 14, 81357, 3.00000e-04, 2.71190e+08
X, dfid, 11puzzle, "1 2 B 3 4 5 6 7 8 9 10 11", 2, 13, 3.00000e-04, 4.33333e+04
